Object Title,Date of Production,Theater Company,Playwright,Location,Description,ID,Language,Rights,Subject,Digital Collection,Type,Format,Play Title,Genre,Notes
Forever and Forever.,07-22,"Barter Theatre (Organization : Abingdon, Va.)","Savage, Courtney","Virginia, Washington, Bristol","This is a poster advertising the production of Forever and Forever by the Barter Theater Company which was performed at Virginia High School in Bristol, Virginia.",BTR_BTR_000420,eng,"http://rightsstatements.org/vocab/InC-EDU/1.0/; The original object is the property of the Barter Theatre in Abingdon, VA (https://www.bartertheatre.com/). This digital surrogate is made publicly available by the Barter Theatre for use in research, teaching, private study, and other educational purposes. Responsibility for any use of these materials rests exclusively with the user. When using this item, users should give proper credit to the owner of the original object as well as to Virginia Tech Libraries.","Theater, Theaters--Virginia, Theatrical posters",The Barter Theater Collection,Still Image,image/jpeg,,Performing arts posters,
March Hares94,07-10,"Barter Theatre (Organization : Abingdon, Va.)","Gribble, Harry Wagstaff, 1896-1981","Virginia, Rockingham, Linville","This is a poster advertising the production of March Hares by the Barter Theater Company which was performed at Eseelola Club House in Linville, Virginia",BTR_BTR_000423,eng,"http://rightsstatements.org/vocab/InC-EDU/1.0/; The original object is the property of the Barter Theatre in Abingdon, VA (https://www.bartertheatre.com/). This digital surrogate is made publicly available by the Barter Theatre for use in research, teaching, private study, and other educational purposes. Responsibility for any use of these materials rests exclusively with the user. When using this item, users should give proper credit to the owner of the original object as well as to Virginia Tech Libraries.","Theater, Theaters--Virginia, Theatrical posters",The Barter Theater Collection,Still Image,image/jpeg,,Performing arts posters,
Twelfth Night,08-21,"Barter Theatre (Organization : Abingdon, Va.)","Shakespeare, William, 1564-1616","Tennessee, Washington, Johnson City","This is a poster advertising the production of Twelfth Night by the Barter Theater Company which was performed at Johnson City Jr. High School in Johnson City, Tennessee",BTR_BTR_000432,eng,"http://rightsstatements.org/vocab/InC-EDU/1.0/; The original object is the property of the Barter Theatre in Abingdon, VA (https://www.bartertheatre.com/). This digital surrogate is made publicly available by the Barter Theatre for use in research, teaching, private study, and other educational purposes. Responsibility for any use of these materials rests exclusively with the user. When using this item, users should give proper credit to the owner of the original object as well as to Virginia Tech Libraries.","Theater, Theaters--Virginia, Theatrical posters, Shakespeare, William, 1564-1616--Dramatic production",The Barter Theater Collection,Still Image,image/jpeg,,Performing arts posters,Notable Director: Robert Porterfield
The Hasty Heart,08-29,"Barter Theatre (Organization : Abingdon, Va.)","Patrick, John, 1905-1995","Tennessee, Sullivan, Kingsport","This is a poster advertising the production of The Hasty Heart by the Barter Theater Company which was performed at Kingsport Jr. High auditorium in Kingsport, Tennessee",BTR_BTR_000434,eng,"http://rightsstatements.org/vocab/InC-EDU/1.0/; The original object is the property of the Barter Theatre in Abingdon, VA (https://www.bartertheatre.com/). This digital surrogate is made publicly available by the Barter Theatre for use in research, teaching, private study, and other educational purposes. Responsibility for any use of these materials rests exclusively with the user. When using this item, users should give proper credit to the owner of the original object as well as to Virginia Tech Libraries.","Theater, Theaters--Virginia, Theatrical posters",The Barter Theater Collection,Still Image,image/jpeg,,Performing arts posters,
Virginia Highlands Festival of Arts and Crafts,07-24/08-15,"Barter Theatre (Organization : Abingdon, Va.)",,"Virginia, Washington, Abingdon","This is a poster advertising the Virginia Highlands Festival hosted by the Barter Theater in Abingdon, Virginia",BTR_BTR_000441,eng,"http://rightsstatements.org/vocab/InC-EDU/1.0/; The original object is the property of the Barter Theatre in Abingdon, VA (https://www.bartertheatre.com/). This digital surrogate is made publicly available by the Barter Theatre for use in research, teaching, private study, and other educational purposes. Responsibility for any use of these materials rests exclusively with the user. When using this item, users should give proper credit to the owner of the original object as well as to Virginia Tech Libraries.","Art festivals, Painting, Music festivals, Posters",The Barter Theater Collection,Still Image,image/jpeg,,Posters,
Book of Job,08/29,"Barter Theatre (Organization : Abingdon, Va.)",,"Virginia, Washington, Abingdon","This is a poster advertising the production of Book of Job by the Barter Theater Company which was performed at the Stonewall Building in Abingdon, Virginia. This was a Special Sunday Benefit Performance for March of Dimes",BTR_BTR_000443,eng,"http://rightsstatements.org/vocab/InC-EDU/1.0/; The original object is the property of the Barter Theatre in Abingdon, VA (https://www.bartertheatre.com/). This digital surrogate is made publicly available by the Barter Theatre for use in research, teaching, private study, and other educational purposes. Responsibility for any use of these materials rests exclusively with the user. When using this item, users should give proper credit to the owner of the original object as well as to Virginia Tech Libraries.","Bible plays, Theater, Theaters--Virginia, Theatrical posters, March of Dimes",The Barter Theater Collection,Still Image,image/jpeg,,Performing arts posters,
1947 Premier ,1947-06-09/1947-06-14,"Barter Theatre (Organization : Abingdon, Va.)","Krasna, Norman, Wood, Henry, Mrs., 1814-1887","Virginia, Washington, Abingdon",This is a poster advertising the a double feature of John Loves Mary and East Lynne by the Barter Theater Company which was performed at The Barter Theater,BTR_BTR_000445,eng,"http://rightsstatements.org/vocab/InC-EDU/1.0/; The original object is the property of the Barter Theatre in Abingdon, VA (https://www.bartertheatre.com/). This digital surrogate is made publicly available by the Barter Theatre for use in research, teaching, private study, and other educational purposes. Responsibility for any use of these materials rests exclusively with the user. When using this item, users should give proper credit to the owner of the original object as well as to Virginia Tech Libraries.","Theater, Theaters--Virginia, Theatrical posters",The Barter Theater Collection,Still Image,image/jpeg,"John Loves Mary, East Lynne",Performing arts posters,Notable Director: Robert Porterfield
Virginia Highlands Festival,1954-08-01/1954-08-15,"Barter Theatre (Organization : Abingdon, Va.)",,"Virginia, Washington, Abingdon","This is a poster advertising the Virginia Highlands Festival hosted by the Barter Theater in Abingdon, Virginia",BTR_BTR_000446,eng,"http://rightsstatements.org/vocab/InC-EDU/1.0/; The original object is the property of the Barter Theatre in Abingdon, VA (https://www.bartertheatre.com/). This digital surrogate is made publicly available by the Barter Theatre for use in research, teaching, private study, and other educational purposes. Responsibility for any use of these materials rests exclusively with the user. When using this item, users should give proper credit to the owner of the original object as well as to Virginia Tech Libraries.","Art festivals, Painting, Music festivals, Posters",The Barter Theater Collection,Still Image,image/jpeg,,Posters,
The 40th Season,1972-04,"Barter Theatre (Organization : Abingdon, Va.)",,"Virginia, Washington, Abingdon",This is a poster advertising the 40th season at the Barter Theater,BTR_BTR_000456,eng,"http://rightsstatements.org/vocab/InC-EDU/1.0/; The original object is the property of the Barter Theatre in Abingdon, VA (https://www.bartertheatre.com/). This digital surrogate is made publicly available by the Barter Theatre for use in research, teaching, private study, and other educational purposes. Responsibility for any use of these materials rests exclusively with the user. When using this item, users should give proper credit to the owner of the original object as well as to Virginia Tech Libraries.","Theater, Theaters--Virginia, Theatrical posters, Advertising postcards",The Barter Theater Collection,Still Image,image/jpeg,,"Posters, Postcards",
"Closed for Winter, 42nd Season",1974-04-01,"Barter Theatre (Organization : Abingdon, Va.)",,"Virginia, Washington, Abingdon",This is a poster announcing that the theater is closed for the winter and advertising the 42th season at the Barter Theater,BTR_BTR_000458,eng,"http://rightsstatements.org/vocab/InC-EDU/1.0/; The original object is the property of the Barter Theatre in Abingdon, VA (https://www.bartertheatre.com/). This digital surrogate is made publicly available by the Barter Theatre for use in research, teaching, private study, and other educational purposes. Responsibility for any use of these materials rests exclusively with the user. When using this item, users should give proper credit to the owner of the original object as well as to Virginia Tech Libraries.","Theater, Theaters--Virginia, Theatrical posters, Advertising postcards",The Barter Theater Collection,Still Image,image/jpeg,,"Posters, Postcards",
